Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Elaborato,11764,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/logo_right.png,200,OK,7,298,5658,Basso,false,
Elaborato,11765,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/print.css,200,OK,5,297,1063,Basso,false,
Elaborato,11766,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/s_notice.png,200,OK,6,295,247,Basso,false,
Elaborato,11767,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/s_warn.png,200,OK,7,296,261,Basso,false,
Elaborato,11768,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/favicon.ico,200,OK,6,302,18902,Basso,false,
Fuori scopo,11769,Thu Sep 19 16:40:08 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,11770,Thu Sep 19 16:40:08 CEST 2024,GET,http://www.phpmyadmin.net/,403,Forbidden,0,130,63,,false,
Fuori scopo,11771,Thu Sep 19 16:40:08 CEST 2024,GET,http://www.phpmyadmin.net/favicon.ico,403,Forbidden,0,130,63,,false,
Elaborato,11772,Thu Sep 19 16:40:09 CEST 2024,GET,http://192.168.50.151/twiki/license.txt,200,OK,7,300,19440,Basso,false,
Elaborato,11773,Thu Sep 19 16:40:09 CEST 2024,GET,http://192.168.50.151/,200,OK,10,232,891,Medio,false,
Elaborato,11774,Thu Sep 19 16:40:10 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,3,222,294,Medio,false,
Fuori scopo,11775,Thu Sep 19 16:40:10 CEST 2024,GET,http://www.phpmyadmin.net/,403,Forbidden,0,130,63,,false,
Elaborato,11776,Thu Sep 19 16:40:10 CEST 2024,GET,http://192.168.50.151/,200,OK,7,232,891,Medio,false,
Elaborato,11777,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/,200,OK,32,442,24257,Medio,false,
Elaborato,11778,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/global-styles.css,200,OK,7,298,7734,Basso,false,
Elaborato,11779,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/ddsmoothmenu.js,200,OK,8,314,8638,Basso,false,
Elaborato,11780,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/jquery.min.js,200,OK,11,315,57254,Medio,false,
Elaborato,11781,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu.css,200,OK,10,297,2250,Basso,false,
Elaborato,11782,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/bookmark-site.js,200,OK,5,312,1064,Basso,false,
Elaborato,11783,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu-v.css,200,OK,13,297,1188,Basso,false,
Elaborato,11784,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/backtrack-4-r2-logo-90-69.png,200,OK,1,297,1444,Basso,false,
Elaborato,11785,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/twitter.gif,200,OK,2,297,1828,Basso,false,
Elaborato,11786,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/owasp-logo-400-300.png,200,OK,7,300,71875,Basso,false,
Elaborato,11787,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/php-mysql-logo-176-200.jpeg,200,OK,0,299,4441,Basso,false,
Elaborato,11788,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/toad-for-mysql-77-80.jpg,200,OK,1,300,10273,Basso,false,
Elaborato,11789,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/coykillericon.png,200,OK,11,298,5575,Basso,false,
Elaborato,11790,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/bui_eclipse_pos_logo_fc_med.jpg,200,OK,19,300,51649,Basso,false,
Elaborato,11791,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/youtube_256_256.png,200,OK,37,299,39246,Basso,false,
Elaborato,11792,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/samurai-wtf-logo-320-214.jpeg,200,OK,3,299,6492,Basso,false,
Elaborato,11793,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/IhackBanner2x_final_print.jpg,200,OK,10,302,102077,Basso,false,
Elaborato,11794,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/favicon.ico,200,OK,7,300,1150,,false,
Elaborato,11795,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/mutillidae/images/right.gif,200,OK,8,296,860,Basso,false,
Elaborato,11796,Thu Sep 19 16:40:11 CEST 2024,GET,http://192.168.50.151/,200,OK,23,232,891,Medio,false,
Elaborato,11797,Thu Sep 19 16:40:13 CEST 2024,GET,http://192.168.50.151/twiki/TWikiDocumentation.html,200,OK,73,301,453477,Medio,false,
Elaborato,11798,Thu Sep 19 16:40:13 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=home.php,200,OK,27,377,24257,Medio,false,
Fuori scopo,11799,Thu Sep 19 16:40:13 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/warning.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11800,Thu Sep 19 16:40:13 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/tip.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11801,Thu Sep 19 16:40:13 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/help.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11802,Thu Sep 19 16:40:13 CEST 2024,GET,http://twiki.org/p/pub/TWiki/FileAttachment/Smile.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11803,Thu Sep 19 16:40:13 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/new.gif,403,Forbidden,0,130,63,,false,
Elaborato,11804,Thu Sep 19 16:40:13 CEST 2024,GET,http://192.168.50.151/p/pub/TWiki/TWikiTemplates/testscreen.gif,404,Not Found,8,222,324,Medio,false,
Elaborato,11805,Thu Sep 19 16:40:13 CEST 2024,GET,http://192.168.50.151/p/pub/icn/txt.gif,404,Not Found,13,222,300,Medio,false,
Elaborato,11806,Thu Sep 19 16:40:13 CEST 2024,GET,http://192.168.50.151/p/pub/icn/bmp.gif,404,Not Found,28,222,300,Medio,false,
Fuori scopo,11807,Thu Sep 19 16:40:13 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,11808,Thu Sep 19 16:40:14 CEST 2024,GET,http://php.net/mcrypt,403,Forbidden,0,130,63,,false,
Fuori scopo,11809,Thu Sep 19 16:40:14 CEST 2024,GET,http://php.net/favicon.ico,403,Forbidden,0,130,63,,false,
Elaborato,11810,Thu Sep 19 16:40:15 CEST 2024,GET,http://192.168.50.151/,200,OK,13,232,891,Medio,false,
Elaborato,11811,Thu Sep 19 16:40:15 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=login.php,200,OK,39,377,25488,Medio,false,
Elaborato,11812,Thu Sep 19 16:40:15 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,6,222,294,Medio,false,
Elaborato,11813,Thu Sep 19 16:40:15 CEST 2024,GET,http://192.168.50.151/mutillidae/images/back-button-128px-by-128px.png,200,OK,9,299,12428,Basso,false,
Fuori scopo,11814,Thu Sep 19 16:40:16 CEST 2024,GET,http://php.net/mcrypt,403,Forbidden,0,130,63,,false,
Elaborato,11815,Thu Sep 19 16:40:16 CEST 2024,GET,http://192.168.50.151/dvwa/,302,Found,13,482,0,Basso,false,SetCookie
Elaborato,11816,Thu Sep 19 16:40:16 CEST 2024,GET,http://192.168.50.151/dvwa/login.php,200,OK,13,347,1289,Medio,false,
Elaborato,11817,Thu Sep 19 16:40:16 CEST 2024,GET,http://192.168.50.151/dvwa/dvwa/css/login.css,200,OK,14,296,608,Basso,false,
Elaborato,11818,Thu Sep 19 16:40:16 CEST 2024,GET,http://192.168.50.151/dvwa/dvwa/images/login_logo.png,200,OK,4,299,12875,Basso,false,
Elaborato,11819,Thu Sep 19 16:40:17 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?do=toggle-hints&page=login.php,302,Found,30,443,0,Basso,false,
Elaborato,11820,Thu Sep 19 16:40:17 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=login.php,200,OK,30,377,27292,Medio,false,"Form, Password, Script"
Elaborato,11821,Thu Sep 19 16:40:17 CEST 2024,GET,http://192.168.50.151/,200,OK,32,233,891,Medio,false,
Elaborato,11822,Thu Sep 19 16:40:18 CEST 2024,POST,http://192.168.50.151/dvwa/login.php,302,Found,42,392,0,Basso,false,
Elaborato,11823,Thu Sep 19 16:40:18 CEST 2024,GET,http://192.168.50.151/dvwa/login.php,200,OK,14,347,1328,Medio,false,
Fuori scopo,11824,Thu Sep 19 16:40:19 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,11825,Thu Sep 19 16:40:19 CEST 2024,GET,http://192.168.50.151/twiki/,200,OK,3,297,782,Medio,false,
Elaborato,11826,Thu Sep 19 16:40:19 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=login.php,200,OK,28,377,27292,Medio,false,
Elaborato,11827,Thu Sep 19 16:40:19 CEST 2024,GET,http://192.168.50.151/,200,OK,18,233,891,Medio,false,
Elaborato,11828,Thu Sep 19 16:40:20 CEST 2024,GET,http://192.168.50.151/,200,OK,13,233,891,Medio,false,
Elaborato,11829,Thu Sep 19 16:40:20 CEST 2024,GET,http://192.168.50.151/twiki/TWikiHistory.html,200,OK,11,300,52417,Medio,false,
Elaborato,11830,Thu Sep 19 16:40:20 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,10,222,294,Medio,false,
Elaborato,11831,Thu Sep 19 16:40:20 CEST 2024,GET,http://192.168.50.151/,200,OK,32,232,891,Medio,false,
Elaborato,11832,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/,200,OK,29,897,4079,Medio,false,
Elaborato,11833,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/phpmyadmin.css.php?lang=en-utf-8&convcharset=utf-8&token=2634aa40fffa4dc93bd9190dc763c043&js_frame=right&nocache=2457687151,200,OK,21,491,21389,Basso,false,SetCookie
Elaborato,11834,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/logo_right.png,200,OK,2,299,5658,Basso,false,
Elaborato,11835,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/print.css,200,OK,1,296,1063,Basso,false,
Elaborato,11836,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/favicon.ico,200,OK,2,302,18902,Basso,false,
Elaborato,11837,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/s_warn.png,200,OK,1,296,261,Basso,false,
Fuori scopo,11838,Thu Sep 19 16:40:21 CEST 2024,GET,https://addons.mozilla.org/en-US/firefox/addon/4510,403,Forbidden,0,130,63,,false,
Fuori scopo,11839,Thu Sep 19 16:40:21 CEST 2024,GET,https://addons.mozilla.org/favicon.ico,403,Forbidden,0,130,63,,false,
Elaborato,11840,Thu Sep 19 16:40:21 CEST 2024,GET,http://192.168.50.151/mutillidae/,200,OK,40,441,24257,Medio,false,
Elaborato,11841,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/dav/,200,OK,6,210,695,Medio,false,
Elaborato,11842,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/global-styles.css,200,OK,3,297,7734,Basso,false,
Elaborato,11843,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu.css,200,OK,4,296,2250,Basso,false,
Elaborato,11844,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/bookmark-site.js,200,OK,4,312,1064,Basso,false,
Elaborato,11845,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu-v.css,200,OK,8,296,1188,Basso,false,
Elaborato,11846,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/ddsmoothmenu.js,200,OK,6,314,8638,Basso,false,
Elaborato,11847,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/jquery.min.js,200,OK,15,315,57254,Medio,false,
Elaborato,11848,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/backtrack-4-r2-logo-90-69.png,200,OK,5,297,1444,Basso,false,
Elaborato,11849,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/samurai-wtf-logo-320-214.jpeg,200,OK,12,300,6492,Basso,false,
Elaborato,11850,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/php-mysql-logo-176-200.jpeg,200,OK,11,300,4441,Basso,false,
Elaborato,11851,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/toad-for-mysql-77-80.jpg,200,OK,14,300,10273,Basso,false,
Elaborato,11852,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/owasp-logo-400-300.png,200,OK,22,300,71875,Basso,false,
Elaborato,11853,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/twitter.gif,200,OK,19,298,1828,Basso,false,
Elaborato,11854,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/coykillericon.png,200,OK,14,299,5575,Basso,false,
Elaborato,11855,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/bui_eclipse_pos_logo_fc_med.jpg,200,OK,15,301,51649,Basso,false,
Elaborato,11856,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/icons/blank.gif,200,OK,1,295,148,Basso,false,
Elaborato,11857,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/icons/back.gif,200,OK,1,295,216,Basso,false,
Elaborato,11858,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/IhackBanner2x_final_print.jpg,200,OK,28,302,102077,Basso,false,
Elaborato,11859,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/youtube_256_256.png,200,OK,26,300,39246,Basso,false,
Elaborato,11860,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/favicon.ico,200,OK,3,300,1150,Basso,false,
Elaborato,11861,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/mutillidae/images/right.gif,200,OK,3,296,860,Basso,false,
Elaborato,11862,Thu Sep 19 16:40:22 CEST 2024,POST,http://192.168.50.151/phpMyAdmin/index.php,302,Found,59,997,0,Basso,false,
Elaborato,11863,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/index.php?token=2634aa40fffa4dc93bd9190dc763c043,200,OK,66,893,3390,Medio,false,Form
Elaborato,11864,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/phpmyadmin.css.php?token=2634aa40fffa4dc93bd9190dc763c043&js_frame=right&nocache=2457687151,200,OK,37,482,21389,Basso,false,
Elaborato,11865,Thu Sep 19 16:40:22 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/themes/original/img/s_error.png,200,OK,13,296,272,Basso,false,
Elaborato,11866,Thu Sep 19 16:40:23 CEST 2024,GET,http://192.168.50.151/,200,OK,9,232,891,Medio,false,
Elaborato,11867,Thu Sep 19 16:40:23 CEST 2024,GET,http://192.168.50.151/dav/?C=N;O=D,200,OK,4,209,695,Medio,false,
Elaborato,11868,Thu Sep 19 16:40:23 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?do=toggle-hints&page=home.php,302,Found,29,442,0,Basso,false,
Elaborato,11869,Thu Sep 19 16:40:23 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=home.php,200,OK,30,377,26080,Medio,false,
Fuori scopo,11870,Thu Sep 19 16:40:23 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,11871,Thu Sep 19 16:40:24 CEST 2024,GET,http://192.168.50.151/twiki/,200,OK,21,296,782,Medio,false,
Elaborato,11872,Thu Sep 19 16:40:24 CEST 2024,GET,http://192.168.50.151/dav/?C=N;O=A,200,OK,2,209,695,Medio,false,
Elaborato,11873,Thu Sep 19 16:40:24 CEST 2024,GET,http://192.168.50.151/,200,OK,12,232,891,Medio,false,
Elaborato,11874,Thu Sep 19 16:40:24 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,4,222,294,Medio,false,
Fuori scopo,11875,Thu Sep 19 16:40:24 CEST 2024,GET,http://www.phpmyadmin.net/,403,Forbidden,0,130,63,,false,
Fuori scopo,11876,Thu Sep 19 16:40:24 CEST 2024,GET,http://www.phpmyadmin.net/favicon.ico,403,Forbidden,0,130,63,,false,
Elaborato,11877,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/,200,OK,8,232,891,Medio,false,
Elaborato,11878,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=home.php,200,OK,28,377,26080,Medio,false,
Elaborato,11879,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/twiki/TWikiDocumentation.html,200,OK,70,301,453477,Medio,false,
Fuori scopo,11880,Thu Sep 19 16:40:25 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/warning.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11881,Thu Sep 19 16:40:25 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/help.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11882,Thu Sep 19 16:40:25 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/tip.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11883,Thu Sep 19 16:40:25 CEST 2024,GET,http://twiki.org/p/pub/TWiki/FileAttachment/Smile.gif,403,Forbidden,0,130,63,,false,
Fuori scopo,11884,Thu Sep 19 16:40:25 CEST 2024,GET,http://twiki.org/p/pub/TWiki/TWikiDocGraphics/new.gif,403,Forbidden,0,130,63,,false,
Elaborato,11885,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/p/pub/icn/txt.gif,404,Not Found,3,222,300,Medio,false,
Elaborato,11886,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/p/pub/icn/bmp.gif,404,Not Found,22,222,300,Medio,false,
Elaborato,11887,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/p/pub/TWiki/TWikiTemplates/testscreen.gif,404,Not Found,7,222,324,Medio,false,
Elaborato,11888,Thu Sep 19 16:40:25 CEST 2024,GET,http://192.168.50.151/dav/?C=M;O=A,200,OK,8,209,695,Medio,false,
Elaborato,11889,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/,200,OK,29,441,24257,Medio,false,
Elaborato,11890,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/global-styles.css,200,OK,6,297,7734,Basso,false,
Elaborato,11891,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu-v.css,200,OK,4,297,1188,Basso,false,
Elaborato,11892,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/ddsmoothmenu.js,200,OK,6,314,8638,Basso,false,
Elaborato,11893,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/styles/ddsmoothmenu/ddsmoothmenu.css,200,OK,7,297,2250,Basso,false,
Elaborato,11894,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/bookmark-site.js,200,OK,7,313,1064,Basso,false,
Elaborato,11895,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/javascript/ddsmoothmenu/jquery.min.js,200,OK,17,315,57254,Medio,false,
Elaborato,11896,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/backtrack-4-r2-logo-90-69.png,200,OK,1,297,1444,Basso,false,
Elaborato,11897,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/twitter.gif,200,OK,5,297,1828,Basso,false,
Elaborato,11898,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/samurai-wtf-logo-320-214.jpeg,200,OK,4,299,6492,Basso,false,
Elaborato,11899,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/IhackBanner2x_final_print.jpg,200,OK,5,302,102077,Basso,false,
Elaborato,11900,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/coykillericon.png,200,OK,8,298,5575,Basso,false,
Elaborato,11901,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/bui_eclipse_pos_logo_fc_med.jpg,200,OK,3,300,51649,Basso,false,
Elaborato,11902,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/php-mysql-logo-176-200.jpeg,200,OK,1,299,4441,Basso,false,
Elaborato,11903,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/toad-for-mysql-77-80.jpg,200,OK,7,301,10273,Basso,false,
Elaborato,11904,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/owasp-logo-400-300.png,200,OK,14,300,71875,Basso,false,
Elaborato,11905,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/youtube_256_256.png,200,OK,16,299,39246,Basso,false,
Elaborato,11906,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/favicon.ico,200,OK,2,300,1150,Basso,false,
Elaborato,11907,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/images/right.gif,200,OK,1,296,860,Basso,false,
Fuori scopo,11908,Thu Sep 19 16:40:26 CEST 2024,GET,http://www.phpmyadmin.net/,403,Forbidden,0,130,63,,false,
Elaborato,11909,Thu Sep 19 16:40:26 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=login.php,200,OK,40,377,27291,Medio,false,
Elaborato,11910,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/mutillidae/images/back-button-128px-by-128px.png,200,OK,6,299,12428,Basso,false,
Elaborato,11911,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/dav/?C=M;O=D,200,OK,1,209,695,Medio,false,
Elaborato,11912,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?page=login.php,200,OK,32,377,25465,Medio,false,
Elaborato,11913,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/twiki/bin/view/Main/WebHome,200,OK,76,217,10145,Medio,false,
Fuori scopo,11914,Thu Sep 19 16:40:27 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,11915,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif,200,OK,2,297,2877,Basso,false,
Elaborato,11916,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/twiki/pub/TWiki/TWikiLogos/twikiRobot131x64.gif,200,OK,6,298,7218,Basso,false,
Elaborato,11917,Thu Sep 19 16:40:27 CEST 2024,GET,http://192.168.50.151/mutillidae/images/back-button-128px-by-128px.png,200,OK,5,299,12428,Basso,false,
Elaborato,11918,Thu Sep 19 16:40:28 CEST 2024,GET,http://192.168.50.151/,200,OK,14,232,891,Medio,false,
Elaborato,11919,Thu Sep 19 16:40:28 CEST 2024,GET,http://192.168.50.151/,200,OK,15,232,891,Medio,false,
Elaborato,11920,Thu Sep 19 16:40:29 CEST 2024,GET,http://192.168.50.151/mutillidae/index.php?do=toggle-hints&page=login.php,302,Found,29,443,0,Basso,false,
Fuori scopo,11921,Thu Sep 19 16:40:29 CEST 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,63,,false,
